cohort_month,cohort_index,cohort_size,active_customers,retention_pct
2017-07,0,3752,3752,100.0
2017-07,1,3752,20,0.53
2017-07,2,3752,13,0.35
2017-07,3,3752,8,0.21
2017-07,4,3752,10,0.27
2017-07,5,3752,8,0.21
2017-07,6,3752,12,0.32
2017-07,7,3752,4,0.11
2017-07,8,3752,7,0.19
2017-07,9,3752,10,0.27
2017-07,10,3752,8,0.21
2017-07,11,3752,11,0.29
2017-07,12,3752,5,0.13
2017-07,13,3752,8,0.21
2017-08,0,4062,4062,100.0
2017-08,1,4062,28,0.69
2017-08,2,4062,14,0.34
2017-08,3,4062,11,0.27
2017-08,4,4062,14,0.34
2017-08,5,4062,21,0.52
2017-08,6,4062,12,0.3
2017-08,7,4062,11,0.27
2017-08,8,4062,6,0.15
2017-08,9,4062,6,0.15
2017-08,10,4062,10,0.25
2017-08,11,4062,8,0.2
2017-08,12,4062,5,0.12
2017-09,0,4001,4001,100.0
2017-09,1,4001,28,0.7
2017-09,2,4001,22,0.55
2017-09,3,4001,11,0.27
2017-09,4,4001,18,0.45
2017-09,5,4001,9,0.22
2017-09,6,4001,9,0.22
2017-09,7,4001,10,0.25
2017-09,8,4001,11,0.27
2017-09,9,4001,7,0.17
2017-09,10,4001,10,0.25
2017-09,11,4001,3,0.07
2017-10,0,4325,4325,100.0
2017-10,1,4325,30,0.69
2017-10,2,4325,11,0.25
2017-10,3,4325,4,0.09
2017-10,4,4325,10,0.23
2017-10,5,4325,9,0.21
2017-10,6,4325,9,0.21
2017-10,7,4325,16,0.37
2017-10,8,4325,12,0.28
2017-10,9,4325,8,0.18
2017-10,10,4325,9,0.21
2017-11,0,7070,7070,100.0
2017-11,1,7070,40,0.57
2017-11,2,7070,26,0.37
2017-11,3,7070,12,0.17
2017-11,4,7070,12,0.17
2017-11,5,7070,13,0.18
2017-11,6,7070,8,0.11
2017-11,7,7070,13,0.18
2017-11,8,7070,9,0.13
2017-11,9,7070,4,0.06
2017-12,0,5324,5324,100.0
2017-12,1,5324,11,0.21
2017-12,2,5324,15,0.28
2017-12,3,5324,18,0.34
2017-12,4,5324,14,0.26
2017-12,5,5324,11,0.21
2017-12,6,5324,9,0.17
2017-12,7,5324,1,0.02
2017-12,8,5324,10,0.19
2018-01,0,6845,6845,100.0
2018-01,1,6845,23,0.34
2018-01,2,6845,25,0.37
2018-01,3,6845,20,0.29
2018-01,4,6845,20,0.29
2018-01,5,6845,11,0.16
2018-01,6,6845,12,0.18
2018-01,7,6845,16,0.23
2018-02,0,6295,6295,100.0
2018-02,1,6295,22,0.35
2018-02,2,6295,26,0.41
2018-02,3,6295,19,0.3
2018-02,4,6295,16,0.25
2018-02,5,6295,14,0.22
2018-02,6,6295,13,0.21
2018-03,0,6773,6773,100.0
2018-03,1,6773,27,0.4
2018-03,2,6773,20,0.3
2018-03,3,6773,20,0.3
2018-03,4,6773,8,0.12
2018-03,5,6773,8,0.12
2018-04,0,6579,6579,100.0
2018-04,1,6579,40,0.61
2018-04,2,6579,20,0.3
2018-04,3,6579,16,0.24
2018-04,4,6579,9,0.14
2018-05,0,6504,6504,100.0
2018-05,1,6504,34,0.52
2018-05,2,6504,17,0.26
2018-05,3,6504,12,0.18
2018-06,0,5878,5878,100.0
2018-06,1,5878,25,0.43
2018-06,2,5878,16,0.27
2018-07,0,5955,5955,100.0
2018-07,1,5955,30,0.5
2018-08,0,6133,6133,100.0
